name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,gender
Amanda Ribas,12.0,5.0,160.02,56.7,167.64,Orthodox,30.0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7,FEMALE
Rose Namajunas,13.0,6.0,165.1,56.7,165.1,Orthodox,31.0,3.69,0.41,3.51,0.63,1.38,0.47,0.59,0.5,FEMALE
Justin Tafa,7.0,4.0,182.88,119.75,187.96,Southpaw,30.0,4.09,0.54,5.02,0.47,0.0,0.0,0.5,0.0,MALE
Edmen Shahbazyan,13.0,4.0,187.96,83.91,190.5,Orthodox,26.0,3.6,0.52,4.09,0.45,2.24,0.38,0.63,0.6,MALE
Kurt Holobaugh,21.0,8.0,180.34,70.31,177.8,Orthodox,37.0,4.37,0.43,4.07,0.48,0.71,0.36,0.46,0.9,MALE
Ricardo Ramos,16.0,6.0,175.26,65.77,182.88,Orthodox,28.0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7,MALE
Julian Erosa,29.0,12.0,185.42,65.77,187.96,Southpaw,34.0,6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8,MALE
Miles Johns,14.0,2.0,170.18,61.23,167.64,Orthodox,29.0,3.28,0.47,2.55,0.68,1.15,0.22,0.85,0.0,MALE
Cody Gibson,20.0,10.0,177.8,61.23,180.34,Orthodox,36.0,4.0,0.43,4.08,0.57,1.28,0.28,0.68,0.2,MALE
Tai Tuivasa,15.0,7.0,187.96,119.75,190.5,Southpaw,31.0,3.96,0.49,5.05,0.43,0.0,0.0,0.57,0.0,MALE
Marcin Tybura,25.0,8.0,190.5,112.94,198.12,Orthodox,38.0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1,MALE
Ovince Saint Preux,27.0,17.0,190.5,92.99,203.2,Southpaw,40.0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5,MALE
Kennedy Nzechukwu,12.0,5.0,195.58,92.99,210.82,Southpaw,31.0,5.13,0.45,4.9,0.5,0.6,0.45,0.8,0.2,MALE
Pannie Kianzad,17.0,8.0,170.18,61.23,167.64,Orthodox,32.0,4.74,0.49,3.67,0.53,0.46,0.33,0.66,0.1,FEMALE
Macy Chiasson,10.0,3.0,180.34,61.23,182.88,Orthodox,32.0,3.53,0.44,2.53,0.46,2.38,0.37,0.62,0.5,FEMALE
Gerald Meerschaert,36.0,17.0,185.42,83.91,195.58,Southpaw,36.0,3.18,0.45,3.37,0.53,2.17,0.38,0.34,1.6,MALE
Bryan Barberena,18.0,12.0,182.88,83.91,182.88,Southpaw,34.0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3,MALE
Mike Davis,11.0,2.0,182.88,70.31,182.88,Orthodox,31.0,5.35,0.52,5.76,0.55,2.77,0.53,0.64,0.4,MALE
Thiago Moises,18.0,7.0,175.26,70.31,177.8,Orthodox,29.0,2.47,0.4,4.19,0.55,1.64,0.44,0.56,1.3,MALE
Marlon Vera,23.0,9.0,172.72,61.23,177.8,Switch,31.0,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9,MALE
Dustin Poirier,30.0,8.0,175.26,70.31,182.88,Southpaw,35.0,5.45,0.51,4.36,0.53,1.33,0.36,0.63,1.4,MALE
Kevin Holland,25.0,11.0,190.5,77.11,205.74,Orthodox,31.0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6,MALE
Gilbert Burns,22.0,7.0,177.8,77.11,180.34,Orthodox,37.0,3.29,0.48,3.42,0.54,2.24,0.38,0.5,0.5,MALE
Petr Yan,17.0,5.0,170.18,61.23,170.18,Switch,31.0,5.14,0.53,4.36,0.58,1.73,0.51,0.85,0.1,MALE
Song Yadong,21.0,8.0,172.72,61.23,170.18,Orthodox,26.0,4.49,0.43,3.96,0.55,0.66,0.4,0.72,0.2,MALE
Curtis Blaydes,18.0,4.0,193.04,120.2,203.2,Orthodox,33.0,3.53,0.5,1.83,0.59,5.72,0.53,0.31,0.0,MALE
Maycee Barber,14.0,2.0,165.1,56.7,165.1,Switch,25.0,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1,FEMALE
Rafael Dos Anjos,32.0,16.0,172.72,70.31,177.8,Southpaw,39.0,3.48,0.47,3.21,0.6,1.95,0.35,0.55,0.6,MALE
Pedro Munhoz,20.0,9.0,167.64,61.23,165.1,Orthodox,37.0,5.32,0.43,6.23,0.56,0.51,0.18,0.82,0.5,MALE
Kyler Phillips,12.0,2.0,172.72,61.23,182.88,Orthodox,28.0,5.72,0.45,3.38,0.61,2.41,0.46,0.75,0.5,MALE
Ion Cutelaba,17.0,10.0,185.42,92.99,190.5,Southpaw,30.0,4.44,0.43,3.43,0.47,4.17,0.57,0.76,0.0,MALE
Michel Pereira,30.0,11.0,185.42,83.91,185.42,Orthodox,30.0,5.15,0.54,3.71,0.58,1.55,0.55,0.94,0.7,MALE
Michal Oleksiejczuk,19.0,7.0,182.88,83.91,187.96,Southpaw,29.0,5.06,0.5,4.26,0.61,0.75,0.44,0.48,0.0,MALE
Maryna Moroz,11.0,6.0,170.18,56.7,170.18,Orthodox,32.0,4.42,0.33,4.89,0.51,0.7,0.24,0.42,0.6,FEMALE
Jairzinho Rozenstruik,14.0,5.0,187.96,109.77,198.12,Orthodox,36.0,3.44,0.49,2.78,0.47,0.0,0.0,0.75,0.0,MALE
Tyson Pedro,10.0,5.0,190.5,92.99,200.66,Orthodox,32.0,2.9,0.59,2.39,0.56,0.76,0.3,0.5,0.8,MALE
Alex Perez,24.0,8.0,167.64,56.7,165.1,Orthodox,32.0,4.12,0.46,3.14,0.59,2.26,0.44,0.82,1.0,MALE
Matt Schnell,16.0,8.0,172.72,56.7,177.8,Orthodox,34.0,4.23,0.38,4.56,0.55,0.59,0.44,0.5,1.0,MALE
Eryk Anders,16.0,8.0,185.42,83.91,190.5,Southpaw,36.0,3.41,0.47,4.17,0.5,1.79,0.26,0.79,0.1,MALE
Brandon Moreno,21.0,8.0,170.18,56.7,177.8,Orthodox,30.0,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5,MALE
Yair Rodriguez,16.0,5.0,180.34,65.77,180.34,Orthodox,31.0,4.65,0.46,3.99,0.52,0.69,0.27,0.58,0.7,MALE
Brian Ortega,16.0,3.0,172.72,65.77,175.26,Switch,33.0,4.07,0.38,6.54,0.49,1.17,0.27,0.57,1.2,MALE
Raoni Barcelos,18.0,5.0,170.18,61.23,170.18,Orthodox,36.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6,MALE
Claudio Puelles,13.0,4.0,177.8,70.31,182.88,Southpaw,27.0,1.56,0.49,2.78,0.46,3.17,0.36,0.6,1.2,MALE
Fares Ziam,15.0,4.0,185.42,70.31,190.5,Orthodox,27.0,2.7,0.48,1.72,0.65,0.81,0.23,0.67,0.2,MALE
Alexander Volkanovski,26.0,4.0,167.64,65.77,180.34,Orthodox,35.0,6.16,0.56,3.44,0.58,1.78,0.37,0.7,0.2,MALE
Robert Whittaker,26.0,7.0,182.88,83.91,185.42,Orthodox,33.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0,MALE
Paulo Costa,14.0,3.0,185.42,83.91,182.88,Orthodox,32.0,6.2,0.58,6.38,0.47,0.45,0.75,0.8,0.0,MALE
Geoff Neal,15.0,6.0,180.34,77.11,190.5,Southpaw,33.0,4.97,0.5,5.47,0.57,0.46,0.44,0.87,0.1,MALE
Merab Dvalishvili,17.0,4.0,167.64,61.23,172.72,Orthodox,33.0,4.5,0.41,2.37,0.57,6.43,0.36,0.8,0.3,MALE
Henry Cejudo,16.0,4.0,162.56,61.23,162.56,Orthodox,37.0,3.77,0.46,3.29,0.6,1.99,0.32,0.75,0.2,MALE
Anthony Hernandez,12.0,2.0,182.88,83.91,190.5,Orthodox,30.0,4.3,0.59,3.46,0.45,6.62,0.49,0.63,3.0,MALE
Amanda Lemos,14.0,3.0,162.56,52.16,165.1,Southpaw,36.0,3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7,FEMALE
Mackenzie Dern,13.0,5.0,162.56,52.16,160.02,Orthodox,31.0,3.31,0.4,4.09,0.51,0.79,0.15,0.28,1.3,FEMALE
Marcos Rogerio de Lima,22.0,10.0,185.42,114.76,190.5,Orthodox,38.0,3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5,MALE
Andrea Lee,13.0,9.0,167.64,56.7,175.26,Orthodox,35.0,4.69,0.46,3.76,0.62,1.85,0.58,0.55,0.6,FEMALE
Jack Hermansson,24.0,8.0,185.42,83.91,195.58,Orthodox,35.0,5.09,0.44,3.69,0.56,1.53,0.3,0.8,0.4,MALE
Dan Ige,18.0,7.0,170.18,65.77,180.34,Orthodox,32.0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3,MALE
Andre Fili,23.0,11.0,180.34,65.77,187.96,Orthodox,33.0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3,MALE
Brad Tavares,20.0,10.0,185.42,83.91,187.96,Orthodox,36.0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0,MALE
Michael Johnson,23.0,19.0,177.8,70.31,185.42,Southpaw,37.0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0.0,MALE
Trevin Giles,16.0,6.0,182.88,77.11,187.96,Orthodox,31.0,3.27,0.55,2.22,0.58,1.19,0.5,0.71,0.3,MALE
Devin Clark,14.0,9.0,182.88,92.99,190.5,Orthodox,33.0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1,MALE
Marcin Prachnio,17.0,7.0,190.5,92.99,187.96,Orthodox,35.0,5.61,0.55,3.3,0.54,0.17,0.2,0.58,0.0,MALE
Max Griffin,20.0,10.0,180.34,77.11,193.04,Orthodox,38.0,3.92,0.49,3.81,0.57,1.45,0.41,0.68,0.3,MALE
Renato Moicano,18.0,5.0,180.34,70.31,182.88,Orthodox,34.0,4.41,0.47,3.8,0.6,1.8,0.47,0.72,0.6,MALE
Drew Dober,27.0,13.0,172.72,70.31,177.8,Southpaw,35.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,MALE
Randy Brown,18.0,5.0,190.5,77.11,198.12,Orthodox,33.0,4.37,0.46,3.33,0.54,0.78,0.39,0.74,0.5,MALE
Muslim Salikhov,19.0,5.0,180.34,77.11,177.8,Orthodox,39.0,3.36,0.51,2.94,0.62,1.27,0.4,0.73,0.0,MALE
Viviane Araujo,12.0,6.0,162.56,56.7,172.72,Orthodox,37.0,4.11,0.47,4.96,0.56,1.76,0.4,0.78,0.6,FEMALE
Molly McCann,14.0,6.0,162.56,52.16,157.48,Orthodox,33.0,5.79,0.49,4.94,0.63,1.82,0.38,0.43,0.6,FEMALE
Diana Belbita,15.0,9.0,170.18,52.16,172.72,Orthodox,27.0,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0.0,FEMALE
Sean Strickland,28.0,6.0,185.42,83.91,193.04,Orthodox,33.0,5.91,0.41,4.33,0.62,0.85,0.64,0.77,0.2,MALE
Raquel Pennington,16.0,9.0,170.18,61.23,170.18,Orthodox,35.0,4.14,0.52,3.29,0.6,0.9,0.27,0.63,0.7,FEMALE
Neil Magny,29.0,12.0,190.5,77.11,203.2,Orthodox,36.0,3.47,0.46,2.42,0.52,2.17,0.4,0.54,0.3,MALE
Marc-Andre Barriault,16.0,7.0,185.42,83.91,187.96,Orthodox,34.0,6.19,0.47,5.67,0.52,0.22,0.25,0.67,0.1,MALE
Arnold Allen,19.0,3.0,172.72,65.77,177.8,Southpaw,30.0,3.39,0.4,2.91,0.61,1.02,0.5,0.75,0.4,MALE
Movsar Evloev,18.0,0.0,170.18,65.77,182.88,Orthodox,30.0,4.43,0.48,2.89,0.61,4.75,0.46,0.71,0.2,MALE
Brad Katona,15.0,3.0,167.64,61.23,162.56,Orthodox,32.0,4.71,0.49,4.98,0.48,1.5,0.27,0.52,0.0,MALE
Charles Jourdain,15.0,7.0,175.26,65.77,175.26,Switch,28.0,5.56,0.48,4.31,0.57,0.09,0.1,0.48,0.6,MALE
Sean Woodson,11.0,1.0,187.96,65.77,198.12,Orthodox,31.0,5.4,0.46,4.0,0.58,0.76,0.62,0.84,0.5,MALE
Gillian Robertson,13.0,8.0,165.1,52.16,160.02,Orthodox,28.0,2.61,0.46,3.12,0.56,2.53,0.43,0.43,1.0,FEMALE
Polyana Viana,13.0,7.0,165.1,52.16,170.18,Orthodox,31.0,2.99,0.4,2.65,0.53,0.82,0.33,0.38,1.9,FEMALE
Priscila Cachoeira,12.0,6.0,170.18,56.7,165.1,Orthodox,35.0,3.76,0.44,7.03,0.43,0.15,0.33,0.65,0.0,FEMALE
Magomed Ankalaev,19.0,1.0,190.5,92.99,190.5,Orthodox,31.0,3.64,0.53,2.25,0.59,1.02,0.31,0.86,0.0,MALE
Johnny Walker,21.0,8.0,198.12,92.99,208.28,Orthodox,31.0,3.81,0.53,2.83,0.44,0.46,1.0,0.57,0.9,MALE
Jim Miller,37.0,17.0,172.72,70.31,180.34,Southpaw,40.0,2.96,0.42,3.18,0.58,1.58,0.44,0.48,1.7,MALE
Gabriel Benitez,23.0,12.0,172.72,70.31,180.34,Southpaw,35.0,4.92,0.41,4.26,0.62,0.24,0.5,0.55,1.0,MALE
Ricky Simon,20.0,5.0,167.64,61.23,175.26,Orthodox,31.0,3.01,0.43,3.61,0.61,5.49,0.46,0.76,0.4,MALE
Mario Bautista,14.0,2.0,175.26,61.23,175.26,Switch,30.0,5.69,0.48,3.99,0.53,2.25,0.44,0.66,1.0,MALE
Andrei Arlovski,34.0,23.0,190.5,108.86,195.58,Orthodox,45.0,3.78,0.45,3.2,0.57,0.38,0.36,0.76,0.2,MALE
Taylor Lapilus,19.0,4.0,167.64,61.23,185.42,Southpaw,31.0,3.91,0.46,2.37,0.61,0.37,0.4,0.77,0.4,MALE
Leon Edwards,22.0,3.0,187.96,77.11,187.96,Southpaw,32.0,2.75,0.53,2.34,0.54,1.25,0.34,0.7,0.4,MALE
Colby Covington,17.0,4.0,180.34,77.11,182.88,Orthodox,36.0,3.88,0.38,2.98,0.55,3.79,0.44,0.67,0.2,MALE
Alexandre Pantoja,27.0,5.0,165.1,56.7,170.18,Orthodox,33.0,4.32,0.49,3.9,0.5,2.2,0.48,0.67,1.0,MALE
Stephen Thompson,17.0,7.0,182.88,77.11,190.5,Orthodox,41.0,4.11,0.46,3.03,0.54,0.26,0.41,0.65,0.0,MALE
Tony Ferguson,26.0,10.0,180.34,70.31,193.04,Orthodox,40.0,4.94,0.45,4.41,0.55,0.39,0.35,0.67,0.9,MALE
Josh Emmett,19.0,4.0,167.64,65.77,177.8,Orthodox,39.0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1,MALE
Bryce Mitchell,16.0,3.0,177.8,65.77,177.8,Southpaw,29.0,2.3,0.58,1.63,0.58,3.45,0.41,0.33,1.6,MALE
Dustin Jacoby,19.0,8.0,190.5,92.99,193.04,Orthodox,35.0,5.53,0.47,4.07,0.57,0.36,0.25,0.6,0.0,MALE
Irene Aldana,15.0,7.0,175.26,61.23,172.72,Orthodox,36.0,5.24,0.4,6.33,0.57,0.16,0.5,0.76,0.2,FEMALE
Cody Garbrandt,14.0,5.0,172.72,61.23,165.1,Orthodox,32.0,3.06,0.4,3.91,0.6,1.1,0.34,0.8,0.0,MALE
Brian Kelleher,24.0,15.0,167.64,61.23,167.64,Switch,37.0,3.39,0.41,4.64,0.54,1.74,0.41,0.6,0.7,MALE
Ariane Lipski,17.0,8.0,167.64,56.7,170.18,Orthodox,30.0,4.27,0.4,4.23,0.52,0.64,0.55,0.79,0.4,FEMALE
Chris Gutierrez,20.0,6.0,175.26,61.23,170.18,Orthodox,32.0,4.8,0.58,2.79,0.63,0.28,0.3,0.69,0.1,MALE
Anthony Smith,37.0,19.0,193.04,92.99,193.04,Orthodox,35.0,3.21,0.48,4.47,0.46,0.49,0.26,0.48,0.6,MALE
Khalil Rountree Jr.,14.0,5.0,185.42,92.99,193.04,Southpaw,34.0,3.84,0.39,4.18,0.5,0.0,0.0,0.58,0.1,MALE
Nasrat Haqparast,16.0,5.0,177.8,70.31,182.88,Southpaw,28.0,5.78,0.44,5.25,0.64,0.31,0.2,0.78,0.0,MALE
Jamie Mullarkey,17.0,7.0,182.88,70.31,187.96,Orthodox,29.0,4.46,0.46,4.49,0.54,2.42,0.34,0.76,0.1,MALE
Tim Elliott,21.0,13.0,170.18,56.7,167.64,Southpaw,37.0,3.39,0.44,2.66,0.56,3.73,0.47,0.59,1.0,MALE
